pathway	pval	padj	log2err	ES	NES	size	leadingEdge	contrast	method
HALLMARK_FATTY_ACID_METABOLISM	0.120805369127517	0.177654954599289	0.14551614609036	0.369337208732365	1.27230423644058	148	CEL ALDH1A1 EPHX1 PCBD1 ERP29 HADH GAD2 CRAT ACADVL IL4I1 ECI2 MLYCD OSTC CRYZ CD36 ECI1 ALDH3A2 ACOX1 ETFDH MIX23 MDH2 MCEE MIF D2HGDH HSD17B11 ACADL RDH11 MAOA ACSM3 IDH1 REEP6 ACAA2 HSD17B10 HSD17B4 ELOVL5 GABARAPL1	clusterPanc	none_q3
HALLMARK_G2M_CHECKPOINT	1.45209095588382e-06	1.0372078256313e-05	0.643551836150722	-0.436623285547504	-1.8817989191137	188	JPT1 STMN1 CKS2 MCM6 TOP2A LMNB1 SLC38A1 AURKB MKI67 KPNA2 DDX39A INCENP E2F3 CCNB2 TPX2 MCM3 CDK1 PLK1 NUSAP1 CCNF PTTG1 SMC4 SLC12A2 HMGA1 HMMR PRC1 LBR CHEK1 TACC3 KNL1 KIF20B TGFB1 BARD1 CDC20 E2F1 KIF22 MCM5 DBF4 UBE2S MYBL2 TLE3 KIF11 H2AX SMC2 CDC25B UBE2C EZH2 CDKN3 NASP H2AZ1 E2F2 HOXC10 KIF2C CDC6 HIF1A POLE TMPO MCM2 SLC7A5 ODC1 PAFAH1B1 CHAF1A CCNA2 POLA2 RAD54L KIF4A TROAP CENPA ORC6 CHMP1A SQLE ODF2 MAPK14 CDKN1B NOTCH2 BUB1 SMAD3 CDC45 SUV39H1 GINS2 PLK4 DTYMK KIF23 BRCA2 CDC7 CENPE	clusterPanc	none_q3
HALLMARK_GLYCOLYSIS	0.310435931307794	0.397994783727941	0.0824344091527096	0.307394491228284	1.08427700279094	180	HDLBP SLC37A4 VEGFA DDIT4 CYB5A PAM CHPF SDC2 GFPT1 CITED2 CD44 COPB2 HSPA5 IER3 PLOD2 QSOX1 P4HA2 ELF3 HAX1 STC2 GMPPA SOX9 GFUS RRAGD FAM162A PKP2 B4GALT2 CACNA1H CLDN3 PHKA2 TFF3 MXI1 HS6ST2 FKBP4 MDH2 IDUA GUSB MIF NDUFV3	clusterPanc	none_q3
HALLMARK_HEDGEHOG_SIGNALING	0.643463497453311	0.731208519833308	0.0584693210386381	0.302052149094747	0.846469879102659	33	NKX6-1 SCG2 VEGFA NRCAM ADGRG1	clusterPanc	none_q3
HALLMARK_HEME_METABOLISM	0.874835309617918	0.911286780851998	0.0325057651164641	0.219558546157416	0.773655546491454	176	ELL2 TENT5C BTG2 RAP1GAP BCAM SIDT2 P4HA2 H1-0 FOXO3 MARCHF8 CLCN3 FBXO9 LAMP2 DCAF10 HBZ MXI1 BACH1 TNS1 SLC25A38 DCAF11 GCLM VEZF1 TCEA1 FN3K KAT2B SPTB HEBP1 MINPP1 SLC25A37 HAGH ADIPOR1 EIF2AK1 FBXO7 KHNYN TAL1 ERMAP HDGF C3 RAD23A NUDT4 PGLS RCL1 FTCD MKRN1 MPP1 EPOR ATG4A NR3C1 ALAD SLC6A9 ARHGEF12 ASNS DMTN SLC11A2	clusterPanc	none_q3
HALLMARK_HYPOXIA	0.574270557029178	0.683655425034735	0.0522693317499306	0.266790546023493	0.940886429409883	182	TPST2 ERRFI1 MT1E MT2A HDLBP SLC37A4 VEGFA DDIT4 PAM SDC2 CITED2 BTG1 PGM1 HSPA5 JUN IER3 P4HA2 FOXO3 STC2 TPD52 RRAGD FAM162A EFNA1 DUSP1 RORA	clusterPanc	none_q3
HALLMARK_IL2_STAT5_SIGNALING	0.007925593072806	0.0208568238758053	0.380730400722792	-0.328883833763356	-1.41919095973856	184	FGL2 AHNAK IRF8 LTB ADAM19 SLC2A3 SELL NCS1 RHOH RHOB CAPG IL1RL1 S100A1 CD48 EMP1 CA2 SWAP70 BCL2 CD83 TNFRSF1B PNP GLIPR2 NT5E IL4R MYO1E IL10RA IL18R1 PTH1R PRNP ITIH5 TNFRSF9 HK2 IRF4 CTLA4 SYT11 GBP4 LRRC8C IL2RA PLIN2 SCN9A BATF BATF3 PTGER2 MAP3K8 CASP3 TRAF1 IL2RB COL6A1 CAPN3 PLPP1 CSF1 AHR SOCS1 CDC6 IFNGR1 TGM2 ODC1 ICOS IFITM3 CD86 CST7 PIM1 CDC42SE2	clusterPanc	none_q3
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.147398843930636	0.210569777043766	0.197822021315103	-0.32367968260054	-1.20467846147584	79	HMOX1 LTB A2M IL2RG CXCL13 ITGB3 ITGA4 CD9 GRB2 TNFRSF1B IL4R IRF1 CD38 IL18R1 CSF2RB PLA2G2A CXCL9 ACVRL1 CSF2RA FAS IL2RA TGFB1 MAP3K8 PTPN1 CSF1 SOCS1 IFNGR1 MYD88 IFNGR2 PIK3R5 PIM1 OSMR SOCS3 CBL	clusterPanc	none_q3
HALLMARK_INFLAMMATORY_RESPONSE	7.86755176424405e-06	4.91721985265253e-05	0.593325476396405	-0.439169556381495	-1.82070821660007	156	IFITM1 SELL ITGB3 EMP3 SLC1A2 LY6E RGS1 ADM IL7R CD48 AXL SEMA4D PDE4B GPR183 TNFRSF1B GABBR1 IL4R IRF1 BST2 CD69 CYBB IL10RA CCR7 IL18R1 ATP2B1 TNFRSF9 LCK CXCL9 ABI1 LCP2 ICAM1 PTPRE LYN TAPBP STAB1 ITGA5 PTGER2 CX3CL1 PDPN SERPINE1 SRI IL2RB CCRL2 CSF1 KIF1B AHR BEST1 GPR132 HIF1A RNF144B ADORA2B ICOSLG IFNGR2 KCNA3 MET PIK3R5 ITGB8 PTAFR OSMR CMKLR1 ATP2A2 CHST2 GP1BA P2RX7 IL18 CD40 KLF6 LIF CALCRL LTA GNA15 LPAR1 SLAMF1 PSEN1 SCARF1 DCBLD2 AQP9 CCL17 TLR2 CCL20 TNFSF15 C5AR1 CXCR6 SELE NFKB1 PCDH7 RGS16 NMI RTP4	clusterPanc	none_q3
HALLMARK_INTERFERON_ALPHA_RESPONSE	3.86786311048589e-08	3.86786311048589e-07	0.719512826338911	-0.574064374599754	-2.20231340929024	91	CD74 IFITM1 SELL PSMB9 GBP2 IFI27 LY6E ISG20 TAP1 NCOA7 C1S LAP3 PSMB8 IL4R IRF1 BST2 UBA7 SP110 CASP1 IFI30 CASP8 CD47 GBP4 TRIM14 IFI44L LPAR6 SAMD9L UBE2L6 ISG15 IFI44 CCRL2 CSF1 EPSTI1 WARS1 TRIM25 IFITM3	clusterPanc	none_q3
HALLMARK_INTERFERON_GAMMA_RESPONSE	4.46402439715677e-15	1.11600609928919e-13	0.996986217533181	-0.559921753224582	-2.41228082757121	186	CD74 HLA-DRB1 HLA-DMA CIITA FGL2 IRF8 PSMB9 IFI27 LY6E ISG20 TAP1 PDE4B PFKP C1S LAP3 PNP BANK1 PSMB8 ITGB7 IL4R IRF1 BST2 CD38 IDO1 CD69 PTPN6 MARCHF1 SP110 HLA-DQA1 TNFAIP3 IL10RA ARID5B CASP1 CSF2RB TNFAIP2 HLA-B IFI30 MX2 XAF1 CXCL9 IRF4 CASP8 LCP2 ICAM1 GBP4 CFH FAS TRIM14 TAPBP PELI1 NLRC5 C1R KLRK1 UPP1 NUP93 JAK2 OAS2 IFI44L IRF5 PTPN1 SECTM1 CASP3 VCAM1 SAMD9L UBE2L6 SRI IL2RB ST8SIA4 ISG15 NOD1 VAMP5 IFI44 SOCS1 HIF1A EPSTI1 HLA-G GPR18 HLA-A LATS2 WARS1 TRIM25 IFITM3 MYD88 CD86 PIM1 SAMHD1 CMKLR1	clusterPanc	none_q3
HALLMARK_KRAS_SIGNALING_DN	0.00025547954869732	0.00109396051969878	0.49849310876659	0.581491463610311	1.94248389588089	121	CLPS CPB1 CPA2 GP2 TENT5C IGFBP2 BTG2 GAMT EGF	clusterPanc	none_q3
HALLMARK_KRAS_SIGNALING_UP	2.67544574698023e-05	0.000148635874832235	0.575610261071129	-0.415264873111069	-1.76328540035952	172	ST6GAL1 LAPTM5 SPARCL1 LCP1 PIGR CTSS IRF8 GPNMB ADAMDEC1 MMP9 TSPAN1 H2BC3 IL2RG DOCK2 IGFBP3 ETS1 MMD ITGB2 IL7R EMP1 CA2 PRDM1 IKZF1 GLRX CD37 BIRC3 TNFRSF1B PSMB8 PECAM1 SLPI LAT2 MAP4K1 DUSP6 AKAP12 NIN PLAT TNFAIP3 IL10RA APOD TFPI TRIB2 FUCA1 IL33 KLF4 CSF2RA CFH TNNT2 PDCD1LG2 GPRC5B SPON1 USP12 PRRX1 ADAM17 ENG GYPC ITGA2 TRAF1 STRN PLAU KCNN4 PPP1R15A	clusterPanc	none_q3
HALLMARK_MITOTIC_SPINDLE	6.98644747284447e-07	5.82203956070372e-06	0.659444398037935	-0.429687773977971	-1.85170422080078	192	FLNA ARHGAP4 SEPTIN9 SPTAN1 DOCK2 FSCN1 SPTBN1 ARHGEF2 TOP2A BIN1 MYO9B LMNB1 MYH9 RHOF TUBA4A EPB41L2 MYO1E KLC1 NIN INCENP RASA2 ARF6 CCNB2 TPX2 WASF1 CDK1 PLK1 NUSAP1 SMC4 DOCK4 ABI1 PRC1 ABR VCL ITSN1 KIF20B CDC42EP2 PLEKHG2 ANLN KIF22 RAPGEF5 DLGAP5 CAPZB KIF11 SSH2 NET1 ARHGEF7 KNTC1 KIF2C KIF1B CKAP5 CNTRL SUN2 ARHGAP27 PALLD ECT2 PAFAH1B1 KIF4A DST RASA1 OPHN1 SOS1 MID1 NEDD9 MAP1S NOTCH2 EZR RALBP1 ARHGAP29 BUB1 KIF23 ARHGDIA BRCA2 CENPE	clusterPanc	none_q3
HALLMARK_MTORC1_SIGNALING	0.370801033591731	0.463501291989664	0.072003313661988	0.294006337062396	1.05174228482389	192	XBP1 TMEM97 NUPR1 SLC37A4 BTG2 BCAT1 DDIT4 FKBP2 IFRD1 NIBAN1 SERP1 PGM1 CANX PHGDH PPA1 ACLY HSPA5 SSR1 INSIG1 PLOD2 CCNG1 USO1 SEC11A SLC1A4 SDF2L1 HSP90B1 PNO1 MTHFD2 GGA2 PSAT1 HSPD1	clusterPanc	none_q3
HALLMARK_MYC_TARGETS_V1	0.00926848080226278	0.0226535625166843	0.380730400722792	0.434132123936656	1.5559931653446	198	PRDX4 PABPC4 RPLP0 RPS2 RPL34 RPS5 RPL6 RPS6 RACK1 EEF1B2 RPL18 RPL14 RPS3 IFRD1 CANX RPS10 RPL22 NPM1 RSL1D1 IMPDH2 YWHAQ HSP90AB1 EIF3D FBL HSPD1 CNBP SERBP1 ACP1 CDK4 KARS1 XPOT EIF3J RAD23B EIF2S2 EPRS1 EIF4G2 PCBP1 GNL3 SRM MYC TXNL4A IARS1 PRDX3 POLD2 PABPC1 DDX21 TRIM28 EIF3B	clusterPanc	none_q3
HALLMARK_MYC_TARGETS_V2	0.807754442649435	0.859313236861101	0.0456790414930062	0.251077509004073	0.758471779505453	55	TMEM97 NPM1 HSPD1 IPO4 CDK4 GNL3 SRM MYC SORD PES1 BYSL SLC29A2 RCL1 IMP4	clusterPanc	none_q3
HALLMARK_MYOGENESIS	0.000903273508633683	0.00301091169544561	0.477270815362862	-0.378074605674528	-1.57518819774073	163	CRYAB SPARC MEF2C MYLK MYH11 SPTAN1 LSP1 FHL1 PDLIM7 IGFBP3 COL4A2 HSPB8 FABP3 SCHIP1 TAGLN TPM2 BIN1 COL6A2 MYH9 FGF2 CNN3 NQO1 PKIA CDH13 PRNP APOD AEBP1 FXYD1 SORBS1 PVALB LARGE1 TNNT2 CKB TGFB1 PPFIA4 DES LDB3 ACHE COL1A1 ITGA7 NOTCH1 ITGB4	clusterPanc	none_q3
HALLMARK_NOTCH_SIGNALING	0.909523809523809	0.916129032258065	0.0580983576873206	-0.22797326096982	-0.709901809423668	29	PRKCA FZD7 DTX1 ARRB1 NOTCH1 RBX1 NOTCH2 DLL1	clusterPanc	none_q3
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.916129032258065	0.916129032258065	0.0292103127923884	0.209569775794414	0.75112879425271	198	PDK4 ATP5MC2 CYB5A ACADVL TCIRG1 SLC25A6 ECI1 ATP6V0E1 ACAT1 SLC25A5 UQCRB COX17 ATP5MG HADHA ATP6V0B ATP5F1C UQCRQ TIMM9 ETFDH ATP6AP1 MDH2 SURF1 TIMM13 PHYH COX7A2L NDUFB4	clusterPanc	none_q3
HALLMARK_P53_PATHWAY	0.155172413793103	0.21551724137931	0.12563992130984	0.342079074175784	1.20640541231453	182	NUPR1 EPHX1 TOB1 SEC61A1 ABAT BTG2 PERP DDIT4 RACK1 RPL18 RPS12 RPL36 BTG1 PLK2 EPS8L2 COQ8A RPS27L ST14 JUN IER3 TM7SF3 CCNG1 EI24 H2AJ VWA5A FOXO3 TM4SF1 FAM162A OSGIN1 SLC3A2	clusterPanc	none_q3
HALLMARK_PANCREAS_BETA_CELLS	5.13503852872973e-09	6.41879816091216e-08	0.761460801445585	0.88419643735918	2.4778689828148	33	INS GCG SST IAPP CHGA SCGN G6PC2 NKX6-1 PAK3 PAX6 ABCC8 FOXA2 PCSK2 NEUROD1 PCSK1 SRPRB INSM1 SYT13 SPCS1 PDX1 SEC11A MAFB STXBP1	clusterPanc	none_q3
HALLMARK_PEROXISOME	0.0314523074796895	0.0611794167977489	0.321775918075361	0.490549880855104	1.58988148663063	99	CEL TTR ALB ALDH1A1 ABCC8 CRAT EPHX2 ECI2 CADM1 MLYCD DHRS3 ACOX1 CNBP SCP2 LONP2 CTBP1 PRDX5 SERPINA6 ABCD3 HSD17B11 ISOC1 PABPC1 SLC35B2 FDPS RDH11 IDH1	clusterPanc	none_q3
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.000565583085600213	0.00201993959142933	0.477270815362862	-0.434735581248456	-1.69226156668896	102	PRKCB CFL1 SLA IL2RG PFN1 GRB2 YWHAB ACTR3 SLC2A1 GRK2 DAPP1 RPS6KA1 ACTR2 CAB39 CDK1 AP2M1 LCK GNA14 CAMK4 E2F1 PDK1 PLCG1 ADCY2 NOD1 PPP1CA UBE2N ARPC3 MYD88 RALB MAP2K3	clusterPanc	none_q3
HALLMARK_PROTEIN_SECRETION	0.00971149292675202	0.0226535625166843	0.380730400722792	0.527500910102365	1.69955296254477	95	GNAS BNIP3 TMED10 TMED2 TOM1L1 PAM SEC31A KRT18 CD63 ARFGAP3 LMAN1 ATP1A1 ICA1 COPB2 USO1 ERGIC3 SEC24D GOLGA4 TPD52 CLCN3 YIPF6 ARCN1 SCAMP1 LAMP2 SCRN1 COPB1 ARF1 BET1 TMX1 SEC22B OCRL STX12	clusterPanc	none_q3
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0668316831683168	0.111683848797251	0.276500599254472	-0.397115497458436	-1.37227756657413	47	LSP1 PRDX1 GLRX PFKP NQO1 PRNP MBP SOD1 IPCEF1 TXN ATOX1 EGLN2 MSRA TXNRD1 PRDX6	clusterPanc	none_q3
HALLMARK_SPERMATOGENESIS	0.535768645357686	0.653376396777666	0.0619762736001998	0.29479690327625	0.944925374205313	92	CFTR SCG5 PCSK1N SCG3 ADCYAP1 ZNRF4 MAP7 PEBP1	clusterPanc	none_q3
HALLMARK_TGF_BETA_SIGNALING	0.118863049095607	0.177654954599289	0.208955027549354	-0.365561751804456	-1.28101099814366	52	ID1 SPTBN1 ID3 THBS1 RAB31 BCAR3 FKBP1A SLC20A1 TGFB1 ENG SKI SERPINE1 PPP1R15A PPP1CA ID2 IFNGR2	clusterPanc	none_q3
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.000262550524727707	0.00109396051969878	0.49849310876659	-0.385235654906797	-1.63961800722133	177	TNC TUBB2A SLC2A3 TSC22D1 ETS2 SAT1 PFKFB3 SNN RHOB KLF2 IL7R ZFP36 TAP1 KYNU PLEK PDE4B GPR183 BIRC3 LITAF EHD1 CD83 EGR3 IRF1 CD69 PLPP3 BCL2A1 TNFAIP3 LAMB3 TNFAIP2 ATP2B1 GADD45A FOSL2 TNFRSF9 KLF4 DUSP2 ICAM1 CFLAR PTPRE IER5 STAT5A B4GALT5 MAP3K8 TRAF1 PLAU NFKB2 SERPINE1 PPP1R15A RCAN1 CCRL2 CSF1 NINJ1 ID2 ICOSLG IFNGR2 MAP2K3 NR4A3 AREG ZC3H12A SOCS3 TANK IL18 KLF6 LIF SMAD3 REL GEM CEBPB TRIP10 SERPINB8 CLCF1 NFAT5 SLC16A6 SLC2A6 DUSP5 TLR2 CCL20 RELB MSC NFKB1 G0S2 PHLDA2 PHLDA1 BHLHE40	clusterPanc	none_q3
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.000321728215344939	0.00123741621286515	0.49849310876659	0.592017217045747	1.96044979653533	110	XBP1 EIF4EBP1 SRPRA VEGFA SRPRB DNAJB9 DDIT4 ERN1 DNAJC3 SEC31A RPS14 ATF4 HERPUD1 PDIA6 SERP1 HYOU1 HSPA5 ALDH18A1 SPCS1 SSR1 EIF4A2 NPM1 SEC11A SLC1A4 STC2 HSP90B1 TARS1 MTHFD2 WFS1 PSAT1 WIPI1 YIF1A SPCS3	clusterPanc	none_q3
